CH1,CH2,CH3,CH4
726.0,700.0,711.0,741.0
732.0,707.0,699.0,736.0
744.0,715.0,696.0,730.0
752.0,722.0,702.0,729.0
754.0,726.0,696.0,729.0
752.0,724.0,690.0,729.0
752.0,723.0,686.0,722.0
752.0,716.0,695.0,724.0
744.0,706.0,695.0,734.0
743.0,717.0,706.0,732.0
765.0,745.0,718.0,736.0
779.0,763.0,711.0,723.0
777.0,765.0,700.0,719.0
759.0,758.0,689.0,726.0
752.0,742.0,684.0,729.0
748.0,734.0,694.0,733.0
728.0,723.0,709.0,745.0
706.0,723.0,713.0,742.0
716.0,730.0,709.0,729.0
733.0,726.0,703.0,718.0
748.0,725.0,696.0,708.0
751.0,724.0,708.0,698.0
741.0,726.0,737.0,686.0
740.0,729.0,770.0,686.0
770.0,734.0,779.0,698.0
782.0,744.0,784.0,714.0
771.0,750.0,771.0,724.0
747.0,744.0,736.0,750.0
744.0,751.0,682.0,770.0
769.0,759.0,643.0,761.0
773.0,757.0,652.0,740.0
751.0,757.0,669.0,736.0
749.0,748.0,668.0,731.0
745.0,729.0,661.0,729.0
744.0,711.0,664.0,722.0
745.0,706.0,674.0,714.0
757.0,721.0,725.0,706.0
751.0,729.0,757.0,702.0
740.0,730.0,781.0,700.0
741.0,727.0,763.0,706.0
750.0,729.0,723.0,721.0
736.0,724.0,727.0,726.0
727.0,715.0,733.0,720.0
737.0,708.0,722.0,724.0
724.0,725.0,706.0,729.0
715.0,747.0,688.0,739.0
723.0,760.0,683.0,744.0
742.0,759.0,669.0,729.0
750.0,752.0,643.0,718.0
753.0,741.0,632.0,723.0
753.0,721.0,674.0,720.0
757.0,708.0,727.0,709.0
756.0,724.0,761.0,690.0
740.0,733.0,781.0,684.0
733.0,731.0,781.0,689.0
735.0,727.0,769.0,690.0
721.0,724.0,727.0,695.0
713.0,717.0,695.0,718.0
724.0,716.0,670.0,742.0
730.0,725.0,663.0,738.0
730.0,724.0,662.0,740.0
726.0,718.0,665.0,754.0
726.0,721.0,674.0,758.0
731.0,725.0,683.0,753.0
741.0,728.0,682.0,742.0
756.0,732.0,668.0,734.0
759.0,727.0,676.0,729.0
753.0,726.0,678.0,721.0
747.0,728.0,682.0,721.0
741.0,730.0,689.0,720.0
737.0,732.0,699.0,721.0
738.0,737.0,707.0,725.0
743.0,741.0,702.0,718.0
761.0,733.0,690.0,714.0
765.0,722.0,681.0,713.0
764.0,731.0,654.0,713.0
775.0,745.0,662.0,722.0
809.0,756.0,692.0,721.0
800.0,753.0,697.0,718.0
765.0,744.0,701.0,729.0
766.0,731.0,704.0,745.0
764.0,724.0,707.0,754.0
735.0,724.0,709.0,749.0
723.0,744.0,698.0,744.0
