CH1,CH2,CH3,CH4
721.0,722.0,730.0,725.0
720.0,721.0,729.0,723.0
720.0,722.0,728.0,722.0
721.0,723.0,728.0,724.0
720.0,723.0,730.0,725.0
723.0,725.0,731.0,727.0
724.0,726.0,733.0,729.0
725.0,728.0,736.0,731.0
726.0,728.0,737.0,732.0
727.0,729.0,736.0,733.0
727.0,726.0,737.0,733.0
727.0,727.0,737.0,731.0
724.0,726.0,735.0,730.0
723.0,725.0,735.0,729.0
723.0,725.0,735.0,728.0
722.0,724.0,733.0,725.0
721.0,722.0,732.0,725.0
720.0,722.0,731.0,725.0
721.0,722.0,730.0,722.0
720.0,721.0,730.0,721.0
722.0,723.0,730.0,723.0
722.0,724.0,729.0,724.0
723.0,726.0,729.0,726.0
726.0,728.0,732.0,730.0
725.0,728.0,734.0,730.0
727.0,729.0,736.0,731.0
727.0,728.0,737.0,730.0
725.0,729.0,733.0,729.0
726.0,727.0,733.0,729.0
725.0,727.0,732.0,728.0
725.0,726.0,733.0,727.0
723.0,724.0,734.0,725.0
722.0,723.0,732.0,724.0
721.0,722.0,731.0,722.0
720.0,721.0,728.0,721.0
720.0,722.0,728.0,720.0
721.0,722.0,729.0,721.0
722.0,723.0,732.0,722.0
724.0,725.0,734.0,725.0
724.0,725.0,734.0,726.0
726.0,728.0,736.0,729.0
726.0,729.0,737.0,731.0
726.0,729.0,738.0,732.0
728.0,729.0,738.0,731.0
726.0,728.0,737.0,729.0
725.0,727.0,735.0,727.0
724.0,726.0,733.0,727.0
724.0,725.0,733.0,726.0
722.0,724.0,731.0,723.0
722.0,723.0,731.0,723.0
721.0,722.0,730.0,723.0
720.0,721.0,728.0,721.0
720.0,722.0,728.0,719.0
721.0,724.0,728.0,721.0
722.0,724.0,730.0,723.0
723.0,726.0,731.0,724.0
725.0,727.0,733.0,727.0
727.0,729.0,736.0,729.0
726.0,729.0,738.0,731.0
727.0,729.0,738.0,731.0
727.0,729.0,736.0,729.0
727.0,727.0,734.0,729.0
725.0,727.0,734.0,727.0
725.0,726.0,734.0,726.0
724.0,725.0,734.0,725.0
720.0,724.0,731.0,723.0
721.0,723.0,731.0,723.0
721.0,723.0,729.0,722.0
721.0,723.0,727.0,722.0
721.0,722.0,727.0,719.0
720.0,723.0,728.0,722.0
723.0,724.0,731.0,724.0
723.0,725.0,733.0,725.0
726.0,728.0,736.0,730.0
726.0,728.0,737.0,730.0
728.0,728.0,738.0,731.0
727.0,729.0,738.0,730.0
724.0,729.0,736.0,728.0
725.0,728.0,734.0,728.0
724.0,727.0,735.0,727.0
724.0,726.0,733.0,727.0
723.0,725.0,733.0,725.0
722.0,723.0,731.0,723.0
722.0,723.0,730.0,722.0
720.0,723.0,729.0,720.0
720.0,722.0,727.0,720.0
721.0,722.0,728.0,721.0
722.0,724.0,728.0,722.0
723.0,725.0,730.0,725.0
724.0,726.0,731.0,726.0
726.0,728.0,735.0,728.0
727.0,729.0,737.0,731.0
726.0,729.0,737.0,732.0
728.0,729.0,737.0,731.0
725.0,727.0,736.0,730.0
725.0,727.0,735.0,727.0
725.0,725.0,735.0,727.0
723.0,725.0,734.0,725.0
723.0,724.0,731.0,723.0
721.0,723.0,731.0,723.0
721.0,722.0,730.0,722.0
720.0,722.0,729.0,720.0
720.0,723.0,728.0,720.0
721.0,723.0,729.0,721.0
722.0,724.0,731.0,723.0
724.0,725.0,734.0,725.0
725.0,727.0,737.0,727.0
726.0,730.0,740.0,729.0
727.0,729.0,741.0,730.0
726.0,730.0,740.0,730.0
727.0,729.0,738.0,728.0
727.0,727.0,736.0,728.0
726.0,727.0,735.0,727.0
725.0,726.0,732.0,726.0
724.0,725.0,731.0,727.0
722.0,724.0,728.0,724.0
722.0,723.0,728.0,723.0
721.0,722.0,727.0,722.0
