CH1,CH2,CH3,CH4
730,729,729,731
729,728,728,729
726,725,723,725
725,724,723,726
723,724,723,726
721,723,721,722
721,723,718,720
724,724,719,721
725,726,722,725
729,728,724,728
732,731,731,732
732,734,734,738
734,735,735,740
734,736,735,739
734,734,732,736
732,731,732,735
731,730,732,732
730,728,730,733
727,728,729,729
724,726,726,727
724,724,722,726
723,723,719,723
723,722,716,721
722,723,716,720
724,724,718,722
726,726,722,724
727,729,726,727
732,733,732,735
732,734,736,738
734,735,738,739
734,735,737,738
732,734,734,735
730,731,733,734
729,730,732,731
729,728,729,731
726,725,727,726
725,724,726,726
724,725,723,725
723,722,721,721
723,722,718,720
723,723,718,722
724,726,720,722
727,727,725,728
728,730,727,729
732,733,730,734
733,734,734,737
735,735,735,739
735,733,735,737
731,733,734,735
730,731,732,734
728,729,730,732
728,727,727,730
725,725,723,728
724,724,721,726
723,724,720,723
721,723,720,721
721,723,718,719
724,723,720,722
725,727,724,725
728,729,726,728
732,733,732,734
732,734,734,736
734,734,736,739
734,736,736,738
734,734,733,737
732,732,733,735
730,731,731,732
729,729,729,732
727,728,727,729
724,725,725,726
724,724,723,725
723,723,721,723
722,722,718,721
721,723,718,719
724,724,720,722
726,726,724,724
728,729,725,727
732,733,731,734
732,734,734,738
734,735,737,739
734,735,736,737
732,733,733,734
731,731,731,734
729,730,731,732
729,729,729,729
726,725,725,725
725,725,725,725
723,723,723,726
722,723,719,721
723,722,716,718
723,722,720,722
725,725,722,725
726,727,726,727
729,729,727,729
731,733,732,735
734,734,735,738
735,735,736,738
734,733,734,736
731,732,733,734
730,731,731,733
728,729,730,730
728,728,728,731
725,726,726,727
724,724,725,725
723,723,723,724
722,721,721,721
720,723,718,720
724,724,720,722
724,727,722,725
727,727,725,728
732,732,732,733
732,734,733,735
733,734,736,738
734,735,736,738
734,733,733,735
732,731,733,735
731,732,732,733
728,728,730,732
727,728,728,729
725,724,724,727
723,724,721,725
724,722,719,722
722,721,715,719
722,723,716,719
724,725,718,723
725,726,724,727
727,729,727,728
731,732,732,734
734,734,735,737
734,735,736,738
734,734,737,737
731,734,735,733
731,731,734,733
729,730,734,731
728,729,731,730
725,726,727,726
724,724,725,725
724,724,724,725
722,724,720,721
723,723,717,719
724,724,718,721
725,725,720,724
727,728,724,728
728,729,728,731
732,733,734,736
734,735,736,739
735,735,736,739
735,734,733,737
731,732,732,734
731,731,732,731
730,731,729,730
728,729,728,730
