CH1, CH2,CH3,CH4
727.0,725.0,724.0,726.0
736.0,733.0,737.0,735.0
737.0,735.0,743.0,739.0
738.0,738.0,749.0,741.0
739.0,739.0,749.0,736.0
737.0,735.0,740.0,730.0
734.0,730.0,735.0,727.0
732.0,729.0,730.0,725.0
731.0,725.0,726.0,723.0
724.0,720.0,720.0,714.0
721.0,718.0,716.0,713.0
719.0,715.0,712.0,708.0
719.0,715.0,704.0,703.0
717.0,712.0,700.0,701.0
716.0,714.0,706.0,713.0
719.0,718.0,711.0,724.0
723.0,721.0,721.0,730.0
727.0,726.0,727.0,735.0
735.0,732.0,737.0,745.0
738.0,736.0,744.0,752.0
740.0,737.0,747.0,755.0
737.0,736.0,746.0,748.0
735.0,733.0,743.0,744.0
733.0,730.0,742.0,742.0
730.0,729.0,737.0,737.0
728.0,725.0,731.0,733.0
723.0,719.0,724.0,725.0
719.0,716.0,721.0,721.0
718.0,716.0,717.0,716.0
717.0,716.0,708.0,710.0
717.0,713.0,705.0,708.0
719.0,716.0,709.0,711.0
723.0,721.0,714.0,715.0
727.0,723.0,717.0,722.0
733.0,731.0,730.0,730.0
737.0,734.0,734.0,733.0
740.0,737.0,735.0,740.0
743.0,738.0,733.0,745.0
740.0,734.0,729.0,743.0
735.0,731.0,726.0,742.0
734.0,729.0,723.0,740.0
730.0,725.0,726.0,738.0
727.0,723.0,724.0,734.0
722.0,719.0,719.0,727.0
720.0,716.0,715.0,725.0
717.0,713.0,708.0,718.0
715.0,712.0,706.0,709.0
714.0,716.0,705.0,718.0
720.0,717.0,713.0,726.0
722.0,722.0,725.0,729.0
726.0,725.0,732.0,731.0
733.0,731.0,746.0,739.0
736.0,734.0,749.0,742.0
739.0,736.0,748.0,744.0
739.0,739.0,741.0,741.0
737.0,732.0,733.0,740.0
733.0,729.0,732.0,736.0
732.0,727.0,730.0,728.0
729.0,724.0,729.0,720.0
723.0,718.0,723.0,710.0
721.0,716.0,721.0,707.0
719.0,715.0,717.0,701.0
719.0,713.0,708.0,692.0
717.0,712.0,703.0,695.0
717.0,714.0,706.0,704.0
721.0,718.0,711.0,718.0
724.0,723.0,721.0,729.0
728.0,727.0,723.0,734.0
735.0,733.0,732.0,742.0
739.0,736.0,737.0,749.0
740.0,736.0,742.0,750.0
737.0,736.0,741.0,745.0
